,Year,Yearly Number of Resale Flats Sold
0,1990-01-01,12505
1,1991-01-01,12855
2,1992-01-01,14503
3,1993-01-01,18116
4,1994-01-01,26373
5,1995-01-01,27289
6,1996-01-01,34919
7,1997-01-01,31759
8,1998-01-01,51095
9,1999-01-01,57782
10,2000-01-01,34862
11,2001-01-01,38055
12,2002-01-01,36098
13,2003-01-01,29003
14,2004-01-01,29112
15,2005-01-01,30045
16,2006-01-01,27427
17,2007-01-01,26982
18,2008-01-01,27262
19,2009-01-01,30482
20,2010-01-01,34854
21,2011-01-01,22281
22,2012-01-01,23198
23,2013-01-01,16097
24,2014-01-01,16096
25,2015-01-01,17780
26,2016-01-01,19373
27,2017-01-01,20509
28,2018-01-01,21561
29,2019-01-01,22186
30,2020-01-01,23333
31,2021-01-01,29087
32,2022-01-01,26729
33,2023-01-01,5557
